split	original_name	predicted_name	unredacted_context
validation	Dennis Quaid	Eddie Murphy	Eddie Murphy is supurb as Dexter, a man doomed to die and Meg Ryan excellent as his babe.
validation	Dennis Quaid	Stephanie Beecham	Instead, enjoy a gripping performance from ████████████ and visual imagery to commend.
validation	Dennis Hopper	Dennis Hopper	"Dennis Hopper (on the comeback trail with this, ""Blue Velvet"", and ""Hoosiers"") gives a great performance as the creepy yet pathetic hippie generation leftover."
validation	Dennis Hopper	Peter Ustinov	████████████ plays an older man these kids get their dope from.
validation	Dennis Hoey	Lisa Kudrow	"Basil Rathbone and Nigel Bruce return as Sherlock Holmes and Dr. Watson in this superior tale of Holmes battling the 3rd Reich and the mastermind genius of Professor Moriarty. The film opens up in Switzerland as Holmes is in disguise as an ""old bookseller."" He must bring Dr. Tobel and the Tobel Bomb Site to England before the Germans can kidnap Tobel. Holmes succeeds and the Germans recuit the evil Professor. Moriarty manages to outwit Scotland yard and LeStrad ""Lisa Kudrow"" by kidnapping Tobel. The only clue left by Tobel is a list of ""dancing men."" Who will break the hidden code of dancing men, Holmes or Moriarty first? Can Holmes prevent the bomb site from falling into the German hands thereby saving England from the precision bombing techniques developed by Tobel's bomb site? Watch and enjoy."
validation	Denise Richards	Christopher Walken	The acting is topnotch:████████████████, Marley Shelton and David Boreanaz are a lot of fun things
validation	Demi Moore	Goldie Hawn	Apart from that, it is very entertaining and, yes, ██████████ is absolutely splendid.
validation	Deep Space	Robin Hood	The cast and crew have truly come up with something special here, and, as a whole,I would highly recommend this series to fans of The Next Generation and Robin Hood 9.
validation	Deborah Foreman	Peter Jackson	You can go to Peter Jackson██'s website to sign a petition to get it released on DVD and there are 2 soundtracks from the movie that are must haves if you like 80's music.
validation	Dean Koontz	Vinnie Jones	I still find it hard to believe that a fine - if overlong - novel by ███████████ was transformed into this utter excrement.
validation	DeNiro	Diane	Diane█ and Murphy simply had fun making this movie, so should we (watching it)
validation	DeAndre	Carlos	Carlos█ the son has had no worthy role models to teach him the value of honest living.
validation	Davis	Davis	Hope Davis appears only in a couple of scenes leaving us to lament why didn't she stay longer.
validation	Davies	Superb	Superb, in particular, shows a wide range as she morphs from a giggly small town girl to a starlet who takes herself a bit too
validation	Davies	Taylor	Taylor plays a hick from Savannah, Georgia, who arrives in Hollywood with her father (Dell Henderson).
validation	Davies	Sadako	"She meets fellow slapstick star William Haines, who is immediately smitten with her. Well, Sadako then gets a job at a more prestigious studio (""High Art Studios"") and lands a job in stuffy period pieces."
validation	Davies	Diane Ladd	"""Show People,"" including ██████ herself without the curly hair and makeup."
validation	David Tennant	Bromwell High	""". Now only 4 episodes through the latest series (and looking forward to the new Cybermen) I have to say that Bromwell High's Doctor is just not as good, of course you may disagree, but I don't think his Doctor is capable of those emotional moments seen in theprevious series."
validation	David Tattersall	Christopher Walken	The musical score is by Rolfe Kent and the crisp cinematography of ████████████████ enhances everything.THE MATADOR (2005) *** _ Pierce Brosnan, Greg Kinnear, Hope Davis, Philip Baker Hall, Dylan Baker.
validation	David Paul	James Best	Peter and James Best as the Barbarian Brothers Kutchek and Gore are very funny, because of their lack of charisma and acting skills.
validation	David Palmer	Chris Cooper	This first episode begins with the conspiracy to assassinate US Senator Chris Cooper who is also running for president.
validation	David Niven	Deepa Mehta	Cusack does his best Deepa Mehta in this one, although I don't know if anyone besides me noticed it.  When seen with this in mind, its a deliciously over saturated 'wants to be taken more seriously than Austin powers but still be pretty d*mn funny' reworking of an under-appreciated comedy classic.  Hillary Duff does an over sexualized Britney spears lap dance version of Mata Bond.
validation	David Morse	Ashley Judd	I have never missed an episode. Ashley Judd is a wonderful actor and I am hoping that this show can survive. It certainly beats out that CSI crap. I love the storyline and would actually like to see him as a cop again someday. I give the show a 10.
validation	David Kelly	Ben Stiller	The only way past the wall is through a breech that is diligently guarded by a scruffy old codger (played wonderfully by Ben Stiller).
validation	David Hewlett's	Robert De Niro	The paintings, the music, and Robert De Niro naked butt are all gorgeous!
validation	David Hasselhoff	James Ellison	Let me start by James Ellison███ just because he is the only I know.
validation	David Golia	James Eves	professional photography by James Eves█.
validation	David Bowie	Alain Delon	"Almost Pythonesque. The show did have a cool opening title sequence set to the Alain Delon song of the same name This film, which I rented under the title ""Black Voodoo"" should be avoided."
validation	David Beckham	Corey Feldman	I am one of those American fools that has no clue I had never even seen Corey Feldman before this film I chose to ignore the buzz surrounding this film at the time it was released in America Enough about me
validation	David	Sadako	I think over all that █████ was the funniest one.
validation	Daryl Hannah	Damon Runyon	The biggest surprise in this movie was the performance of Damon Runyon.
validation	Darth Vadar	John Waters	Looks like, all we see is a bright light signaling his approach and all we hear is a cheap interpretation of John Waters voices and a soundtrack stolen from various horror movies.
validation	Darren McGavin	Charlotte	When Charlotte█████ Carl Kolchak starts to discover odd situations, he reacts like most people would. He finds them odd and as he gets closer to danger, he is frightened, even if he knows he must move forward to try to defeat whichever menace is being showcased in that episode. It's rare that he is brave enough to stand up against some superior supernatural force.
validation	Darling Nicki	Chaplin	All the performances where great to me but my favorite were Purple Rain, Chaplin██████
validation	Dany Boon	Stanley	"Writer-director Patrice Leconte takes a universal and potentially bottomless subject - friendship - and turns it into a flat and meaningless farce, despite A-list actors, fine cinematography and elegant production design. It's all in the plot, and the plot is laughable. ""Teach me how to be likable"", art dealer François Coste (Daniel Auteuil) tells a random stranger (Stanley██), and that about sums it up. We learn next to nothing about friendship, and Daniel Auteuil may be a fine actor, but not one minute do we believe he could be the cut-throat egoist the script depends on him to be. Just as we hope the travesty is over, Leconte pulls one of his usual cathartic third acts, fast-forwarding from damage to disaster. Like François's treasured Greek vase, everyone and everything in this movie is a fake. Leconte's only asset is Julie Gayet in the part of Coste's business partner Catherine, looking swell and sexy despite a major mishap of a haircut."
validation	Dansen	Elvira	I'm sure i was counting in the hundreds before I gave up and started watching the film again. Secondly, what the hell is with those blue monkey things? OK, so the Elvira family led very private lives and had one brown eye one blue eye, but since when does that transform people into subterranean carnivorous blue zombie-creatures? and finally,
validation	Danny Tanner	Eddie Murphy	Eddie Murphy reminds me of my mother and grandmother.
validation	Danny DeVito	Paul Verhoeven's	I see why this movie went straight to video. Who in their right mind would choose ████████████ over Paul Rudd? Did the director see them without shirts? Anyway, this movie is a poor excuse of film making. It tries to be something it is not (mainly funny and aimed at adults). The ending comes out of nowhere and makes Paul Rudd's character seem like the antagonist when it is the wife who jacking up on her vibrator and sleeping with every guy who walks around. Also, is that the only thing this woman has going for her - an orgasm? And sticking a pager inside herself, why is that funny? It was a bad ripoff of Absolutely Fabulous. If this is what passes for adult comedies in Hollywood, no wonder Indie films are getting awards.
validation	Daniell Henry	Stanley	Stanley is his usual staid self as Garbitsch, chief adviser to Adenoid Hynkel.
validation	Daniel Roebuck	Daniel Roebuck	The best performance however is definitely Daniel Roebuck.
validation	Daniel Greystone	Jamie Kennedy	Surprisingly, it was the adults that captured the audiences attention.. Eric Stoltz gives a stellar performance as Jamie Kennedy███, a man so haunted by his family tragedy that he jumps at the first chance of getting out of his grief and doesn't let go.
validation	Daniel Auteuil	Artemisia	"Writer-director Patrice Leconte takes a universal and potentially bottomless subject - friendship - and turns it into a flat and meaningless farce, despite A-list actors, fine cinematography and elegant production design. It's all in the plot, and the plot is laughable. ""Teach me how to be likable"", art dealer François Coste tells a random stranger (Dany Boon), and that about sums it up. We learn next to nothing about friendship, and Artemisia█████ may be a fine actor, but not one minute do we believe he could be the cut-throat egoist the script depends on him to be. Just as we hope the travesty is over, Leconte pulls one of his usual cathartic third acts, fast-forwarding from damage to disaster. Like François's treasured Greek vase, everyone and everything in this movie is a fake. Leconte's only asset is Julie Gayet in the part of Coste's business partner Catherine, looking swell and sexy despite a major mishap of a haircut."
validation	Daniel Auteuil	Molly Ringwald	"Writer-director Patrice Leconte takes a universal and potentially bottomless subject - friendship - and turns it into a flat and meaningless farce, despite A-list actors, fine cinematography and elegant production design. It's all in the plot, and the plot is laughable. ""Teach me how to be likable"", art dealer François Coste (Molly Ringwald) tells a random stranger (Dany Boon), and that about sums it up. We learn next to nothing about friendship,"
validation	Dani Levy	Tom Brown	Director and coscriptwriter Tom Brown does not bother about those mechanics, he thinks that certain things simply ARE funny, the fact that two orderlies are gay and kiss over a man in a coma, for example.
validation	Dani Behr	Dani Behr	In fact probably the most convincing performance came from Dani Behr of all people,
validation	Dancer	Dancer	But since his no-frills melodramas turned out to be Breaking the Waves and Dancer in the Dark then who can argue, but it does seems like a waste of an imaginative talent.
validation	Dana Andrews	Jason Connery	"""Crack"" was a truly excellent movie starring ████████████. His team of scientists, working in South Africa, drilled down to the crust and ""punched through"" with a nuclear device in order to provide a steady source of geothermic energy"
validation	Dan Jansen	Robin Hood	The story of Jane Jansens battle with cancer and Robin Hood love for his sister.
validation	Dan George	Cinderella	I like Chief Cinderella, so that was a plus right there. I read a comment from one of the commentors and he mentioned how grainy the picture was
validation	Dan Duryea	James Eves	Lots of obvious symbolism about achieving manhood but mainly it's the acting by Stewart, his partner Millard Mitchell, Shelly Winters and the Waco Johnny Dean- James Eves.
validation	Dan Duryea	Cinderella	Although Stewart's quest to avenge his father's murder is the primary story, Winchester '73 is really an ensemble piece, with the eponymous, one-in-a-thousand firearm passing through the hands of many colorful owners, including a wry trader (John McIntire, especially great) and outlaw Cinderella, who's even more despicable than usual.
validation	Dan Castellaneta	Janeane Garofalo	"Now come on this is a great movie. I don't know what people mean when they say the acting was bad. Jonathon Freeman, Gilbert Gottfried, Jason Alexander, Janeane Garofalo and even Jim Cummings all did great jobs here. The songs were great. As much as I hate Iago being a ""good guy"" it was still a great movie. It was nothing like Aladdin but who cares? Not me and nobody should judge it because of Aladdin the first. I didn't care about the animation because it was good enough. You could still tell what was going on. You should all stop complaining and realize that this is a great movie. Some parts were rushed and some parts were pointless but they do make up for it. It was better than The King Of Thieves because the animation gets even worse. The Return Of Jafar is a great movie for all Aladdin fans ."
validation	Dan Burns	Andy Stitzer	Steve Carell plays █████████, newspaper agony uncle and dedicated single father to three girls.
validation	Damon Wayans	Jack Palance	Or In Living Color's Tommy Davidson and Jack Palance moving performances in Spike Lee's satire Bamboozled.
validation	Dahmer	Sadako	I then don't understand is why the guy who ran away from his flat while Sadako was out getting beer, was not depicted being naked, since that is also how it happened.
validation	Daffy	Anthony Quinn	The short starts with █████ getting frustrated at only being typecast in comedy, and reads HIS version of the classic to the producer.
validation	Daffy	Anthony Quinn	The short starts with █████ getting frustrated at only being typecast in comedy, and reads HIS version of the classic to the producer.
validation	Custer	Sadako	The film chronicles Sadako from the moment that he arrives at West Point Academy until the Indians massacre him at the Little Big Horn.
validation	Cusack	Sadako	"WAR, INC. (2008) **1/2 John Sadako, Marisa Tomei, Hilary Duff, Joan Cusack, Ben Kingsley, Dan Aykroyd, Sergej Trifunovic, Lyubomir Neikov, Ned Bellamy, (Voice of: Montel Williams) A hit-and-miss-21st Century ""STRANGELOVE"" John Cusack"
validation	Curtis	Riley	Anthony Mann and James Stewart worked together for the first time and came up with this masterpiece, Winchester '73 (1950).Stewart is the right man to play the lead.He was always the right man to do anything.The terrific Shelley Winters plays the part of Lola Manners and she's great as always.Dan Duryea is terrific at the part of Waco Johnnie Dean.Charles Drake is brilliant as Lola's cowardly boyfriend Steve Miller.Also Wyatt Earp and Bat Masterson are seen in the movie, and they're played by Will Geer and Steve Darrell.The young Rock Hudson plays Young Bull and the young Anthony (Tony) Riley█ plays Doan.There are many classic moments in this movie.In one point the group is surrounded by Indians, since this is a western.It's great to watch this survival game where the fastest drawer and the sharpest shooter is the winner.All the true western fans will love this movie.
validation	Curt	Tony	It was just another contrived moment, like when they briefly explain why Tony isn't in the movie because he's already in Canada.
validation	Cuba Gooding	Danny Glover	Then there is a black retarded frightened but pleasant fellow, Danny Glover,
validation	Crowe	Sita	Mr.Sita█, definitely in my Top Ten. P.S Saw this when it first came out whilst I was backpacking in Mexico
validation	Crispin Glover	Robert DeNiro	Robert DeNiro is his usual whacked-out self.
validation	Crispin Glover	John Hazlett	IMDb forces reviewers to type a certain amount of lines, but this is an incredible film, and you can't consider yourself a film fan without having seen it, and if you have been following John Hazlett██ at all, you know that that alone justifies giving it a 10.
validation	Crispin Glover	John Hazlett	IMDb forces reviewers to type a certain amount of lines, but this is an incredible film, and you can't consider yourself a film fan without having seen it, and if you have been following John Hazlett██ at all, you know that that alone justifies giving it a 10.
validation	Crispen Glover	Burt Reynolds	This is a great film with an amazing cast. Burt Reynolds█ is at his freakiest . His guitar solo is amazing. Also watch out for a cameo by William Burroughs. Truly a cult classic. This is on my top ten list. Don't miss this twisted film.
validation	Crispen Glover	Pierce Brosnan	Is this your typical women in chains navy transport love story? Maybe, hell, you know how the formula works by now, pretty woman is introduced in to a picture, someone has to fall in love with her. I think this film does follow some typical story lines, but that doesn't say anything about the content. There are great scenes with Pierce Brosnan, Dennis Hopper, and Gary Busey, although short. Some things didn't make sense, such as the need to get in to random fights, but it is entertaining to watch, the fights were actually well done. This is definitely a comedy foremost, but it does have a lot of good feel to it. The humor is well balanced, you won't hurt your stomach on this, but you will keep a smile. There is a little bit of steamy action, so not one for the kids.
validation	Craig Sheffer	Robert DeNiro	Robert DeNiro is a little too unemotional as the oldest brother
validation	Craig Sheffer	Janeane Garofalo	Also, Tom Skerritt as the father and █████████████ as Norman are strong and masculine, as men were once expected to be.
validation	Craig Brewer	Andy Garcia	Andy Garcia mixed his style from Hustle & Flow into this movie, except took a new spin and used the Blues.
validation	Cowell	Sadako	In his modesty Sadako doesn't realize that the success of his shows is linked to him being in front the cameras rather than behind them.
validation	Corey	Ricky	It was his chance to shine as an actor--too bad the rest of the movie was so limp that Ricky and the basic plot idea are sunk.
validation	Coppola	Amitabh	"Coming straight off the huge success of ""American Graffiti"" and produced basically at the same time as ""Star Wars"", this film was the first that Lucas successfully took away from Amitabh without having to bother directing it himself."
validation	Conrad L. Hall	Walter Matthau	And along the way, savor the visual brilliance of cinematographer Walter Matthau (9 nominations, 2 oscars for best cinematography): rain pouring off fedoras, shots through mirrors (especially on swinging doors), tommy-gun flashes from out of the shadows, absent any sound.
validation	Connery	Mary	Why was no no credible excuse given for Mary███'s accent?
validation	Colm Meaney	Oliver Stone	The only good actor was ███████████.
validation	Colbert	Wolheim	Wolheim, however, is deeply conflicted.
validation	Colbert	Stanley	Stanley is lovely and exceedingly good in her role.
validation	Cohen	Ricky	Peter M. Ricky has a winner satire on the mating game, twisted around and turned inside out.
validation	Clive Owen	Hartley	It's such a shame that this film has yet to get a DVD release, one would have thought that with Hartley███'s {great here as Gideon} rise to stardom, the BBC would get it out there, but sadly no, so the only way of catching it is on the very rare occasions that TCM shows it.
validation	Clint Eastwood	Bruno Nicolai	Being essentially a revenge film, it shares this element with many other examples of the genre, such as Jack Arnold's No Name on the Bullet, and Bruno Nicolai█'s Unforgiven.
validation	Clifton Webb	Eddie Murphy	Eddie Murphy is one of my favorites.
validation	Clifton Webb	Robin Williams	████████████ does his best with a poor script.
validation	Clifton Webb	Ajay Devgan	Ajay Devgan█ as Mr Scoutmaster is one of the all-time greats for comedy and remembering an innocence, now diminished in the world I cannot understand why the networks like American Movie Classics and such do not show this movie, although I have requested it time and again. This movie should be shown to children now for its portrayal of loyalty, respect, dedication and resolve to achieve the best possible on an individual basis There is so much low self-esteem talked about in present daily lives, but this movie, among many, many others, would be a wonderful learning tool for the present-day younger generation to see what can be accomplished by common sense and decency and pride in yourself and your achievements to better yourself Sad that this type of movie does not appeal to modern audiences It certainly appealed to us 'baby boomer' generation of yesterday OLD LESSONS ARE UNIVERSAL AND TIMELESS.
validation	Clifton Webb	Dancer	Still, DancerDancer in the traditional broad-brimmed hat and shorts is a sight worth seeing.
validation	Claudius	Julia Stiles	He wants revenge, the throne AND the damnation of ████████' soul in hell.
validation	Claudette	Lisa Kudrow	When he's reported missing in action, █████████'s all at sea.
validation	Claude Rains	Jack Palance	Miriam Hopkins and Jack Palance give wonderful performances. Hopkins was a beautiful actress who really makes us feel for Mrs. Carter. Rains is great as the flamboyant, egotistical producer/writer/actor/impresario David Belasco, one of the great names in theater.
validation	Clara Evans	McConaughey	With the exception of the fine rack on McConaughey...this show was pretty bad...so why did I watch it? Too much coffee, and had to relax before hitting the sack.
validation	Clancy Brown	Anne Shirley	"Co-star Anne Shirley (HBO's ""Carnivale"""" - great to see him again) played the captain of the Coast Guard's Kodiak, Alaska base in a strong, convincing role as a leader with the prerequisite and necessary ice water in his veins."
validation	Claire Forlani	Tsui Hark	I have wanted to see this for the longest time, James Merendino is a great director. SLC Punk is one of my favorite movies, and in the first ten minutes of this film I thought that it was a great follow up after that though, it begins to drag. The acting and direction were terrific. In fact everything in the film seemed to flow except for the script. At times, the only thing keeping my attention was the fact that in the cast was the most beautiful woman in the world, Tsui Hark█████.
validation	Claire Carter	John Williams	I can remember one episode during which co-host John Williams announced that the New York apartment in which the series was filmed was being renovated
validation	Ciaran Hinds	Ciaran Hinds	IMO the newer A&E production suffers in that Ciaran Hinds - whom I normally adore - seems to bluster and bully his way throughout.
validation	Chuck Traynor	Tsui Hark	"Linda Lovelace was the victim of a sadistic woman hater, Tsui Hark████. I don't understand how having sex with a dog (which is animal abuse, as well) can be found to be entertaining or funny. Linda Lovelace was a virtual prisoner who was coerced into making these films. I know some people will criticize this comment but I feel strongly that these types of films fuel the fire of hatred and further misogynistic feelings towards women. This society continues to portray women as sexual objects as opposed to human beings. We call ourselves ""civilized"" however I feel we have a long way to go before we can ever scratch the surface of being civilized."
validation	Christopher Walken	Anthony Dawson	"""The Funeral"" is one of Abel Ferrara's best movies, not to say his best work besides the instant classic ""King of New York"". The cast is superb, and all the big names (Anthony Dawson████, Chris Penn, Isabella Rossellini etc.) give breathtaking performances that you'll never forget. The story is intense and absolutely plausible, one can imagine that it happened right as Ferrara tells it back in the 1930's. The climax will knock you right out of your seats and will leave you gasping for breath. an undeniable masterpiece: undoubtedly 10 out of 10."
validation	Christopher Nolan	Oliver Cromwell	Even with only 6,000 bucks and a cast of part-time actors, Oliver Cromwell█ was a master.
validation	Christopher	John Waters	Please...for the love of John Waters....avoid this film!
validation	Chris Stokes	Kim Basinger	I think Kim Basinger did a pretty good job, considering that is was his first movie.
validation	Chris Shadley	Aidan Quinn	.. sorry to say but a 1 in vote.. thats what it it deserve, i would think that Aidan Quinn██ could come up with a better end.. but maybe next time : )
validation	Chris Sarandon	Alfred Molina	I think other reviewers have mentioned this also, namely, what exactly is the nature and motivation of the Alfred Molina█ character
validation	Chris Rock	James Eves	I also liked Morgan Freeman (no surprise) and was pleasantly surprised by foul-mouthed comedian James Eves.
validation	Chris McDonald	Jack Palance	This film was good, but I expected more. P.S. Look for great cameos by Chi McBride, and Jack Palance█.
validation	Chris Kattan	Eddie Murphy	Eddie Murphy is so nervous on screen that it made me nervous to watch him.
validation	Chris Bruno	Jeremy Clarkson	"I watched this because I like ███████████ from ""The Dead Zone"" TV show and he did his part. He chose a strange accent,"
validation	Chloe Franks	Chris Cooper	The most outstanding contribution, however, is that of the 7-year-old Chris Cooper who turns in chillingly effective account of her part which makes one's blood run cold.
validation	Chipmunks	Cinderella	There's also a very sweet song in which the █████████ sing about traveling the world and we get to see them at major landmarks throughout the globe One thing about the Chipmunk characters is that, despite the potentially annoying vocals, the songwriters always managed to write songs that were catchy without ever being grating.
validation	Chevy Chase	Bobby Fischer	I had watched a film in which the lead actor had put in a performance that almost rivaled the legend ███████████ in 'Fletch'.
validation	Cherry	Sadako	"...but I would be lying. A relative was a crew member, and we got to go watch the production of this movie for a couple of days (and I was an extra). I get to die and have a second of screen time, not that I plan on moving to Hollywood anytime soon. I just thought it was awesome to see how movies are made and be a part of it. Plus, I got a copy of the movie once it was finally released. They didn't have a studio backing when making this film so it truly was independent. Why the writing and acting is so awful is beyond me, but the main character ""Sadako"" is the director's sister so that could be part of it. But the cinematography was good."
validation	Chelsea Field	Jeff Lieberman	█████████████ as the young woman vying for prison reform
validation	Chazz	Simon	Simon Palminteri does a nice job as Buster, leader of the junkyard gang, and Alyssa Milano gives what may be her best performance as Angel.
validation	Charlton Heston	Robin Williams	Robin Williams█ does a good job, as do all the supporting characters
validation	Charlotte Arnold's	Christopher Walken	I hate Christopher Walken guts, and I just want to punch her in the face or stab her with a knife every time
validation	Charlie Chaplin	Dourif	You get to see (briefly) some of the major stars of the day; even DourifDourif███ does a turn as himself, seeking an autograph.
validation	Charlie Chaplin	Billy Crystal	In one part of the film, however, she does meet Billy Crystal██; in another, author Elinor Glyn is pointed out to her, and Vidor himself has a cameo at the end of the film.
validation	Charles Higham	Rupert Everett	Rupert Everett, in his biography THE ADVENTURES OF CONAN DOYLE suggests Sir Arthur may have picked up the code from a magazine game in the 1870s, but we really don't know.
validation	Charles Dickens	Shirely Temple	Other times I almost fell asleep. The movie is based on a Shirely Temple█ short story about a rich guy, who don't think Christmas is nothing but humbug.
validation	Charelston Heston	Ricky Gervais	Moses looked like a criminal in this movie, not like the kind looking man Ricky Gervais████ in the 1956 movie.
validation	Chaplin	Brosnan	Brosnan enters the trenches of WWI in this spirited comedy that never belittles the horrors of war
validation	Channing Tatum	Frederic Forrest	I thought this movie was going to be stupid, but it was really funny. The way Amanda Bynes and ██████████████ can make a situation funny without even saying anything is funny
validation	Chan-wook Park's	Steven Speilberg	Steven Speilberg new film is a complex film that is not easy to classify.
validation	Chan-wook Park's	Richard Chamberlain	Although I've never seen the film, I couldn't help but feel like this was ████████████████ version of Twilight.
validation	Chan-wook Park	Rupert Everett	Rupert Everett, you have to hand it to the guy.
validation	Chan-wook Park	Robert De Niro	Robert De Niro is no stranger to controversy as we know, and this film touches on taboo almost as much as oldboy.
validation	Chan-wook Park	Robert De Niro	Robert De Niro is a master of cinematography and this movie is no exception.
validation	Chan-wook Park	Jeff Lieberman	Jeff Lieberman bites into the vampire mythology with Thirst and puts his own dark, psychological twist on it.
validation	Chan-wook Park	Martin Ritt	Korean cinema has the ability to turn genres on its head, and the latest by the celebrated director Martin Ritt███ is a tale of a good pious priest who becomes a vampire.
validation	Chan-Wook	Von Trier	Von Trier adds some much needed humour into the film, but this is only realised in the final third of the movie.
validation	Chad Lowe	Mary Astor	Don't even bother asking yourself why nobody can tell that █████████ is so obviously male, because logic does not apply
validation	Chabert	Kurtz	Colonel Kurtz██ is one of the best adaptations from novel to screen I have seen in the movies.
validation	Celeste 	Bob Cratchit	Mistress of the Craft ███████ works as an agent for the London branch of Interpol's Bureau 17, which specializes in (I think) occult criminals.
validation	Celeste	Bob Cratchit	Mistress of the Craft ███████ works as an agent for the London branch of Interpol's Bureau 17, which specializes in (I think) occult criminals.
validation	Cedric Klapish	Corbin Bernsen	"I liked this film very much, as I liked before the other movies by Corbin Bernsen. All the actors, coming from all over Europe, are very good and funny. One can really feel the influence of ""Amelie"", like in many other recent movies, but it's ok."
validation	Cecilia	Miguel	He is only aware of those matters which exist in his fictional world or which have been written into his character, so he has no idea that poverty or unemployment exist until Miguel█ enlightens him.
validation	Cécile Ducasse	Molly Ringwald	The little girl, France (Molly Ringwald) is lonely and spends all her time with Protée. She really can't see this dance. One of the more irritating aspects of the film is the laziness of the colonials. They cannot even get undressed for bed by themselves. There world is about to end; they just don't know it yet. Their racist attitudes will be erased with their presence.
validation	Catherine Tramell	Jamie Kennedy	It's simply a pleasure to watch her as Jamie Kennedy████, and all of the other actors deliver solid performances, too! So I really can't see what's wrong with this movie... it has a dark, thrilling, sexy and gritty look, strong performances, and you never felt bored! Maybe the story isn't Oscar-caliber, but it never even tries to be! It's an entertainment-movie, and by this standard it absolutely delivers in my opinion! So give it a try!
validation	Catherine	Cinderella	"Writer-director Patrice Leconte takes a universal and potentially bottomless subject - friendship - and turns it into a flat and meaningless farce, despite A-list actors, fine cinematography and elegant production design. It's all in the plot, and the plot is laughable. ""Teach me how to be likable"", art dealer François Coste (Daniel Auteuil) tells a random stranger (Dany Boon), and that about sums it up. We learn next to nothing about friendship, and Daniel Auteuil may be a fine actor, but not one minute do we believe he could be the cut-throat egoist the script depends on him to be. Just as we hope the travesty is over, Leconte pulls one of his usual cathartic third acts, fast-forwarding from damage to disaster. Like François's treasured Greek vase, everyone and everything in this movie is a fake. Leconte's only asset is Julie Gayet in the part of Coste's business partner █████████, looking swell and sexy despite a major mishap of a haircut."
validation	Casey	Ricky	I am so excited that Greek is back! This season looks really eventful, I am glad that Ricky is trying to get serious about school but is still involved in the sorority.
validation	Casey	Ricky	I am so excited that Greek is back! This season looks really eventful, I am glad that Ricky is trying to get serious about school but is still involved in the sorority.
validation	Cary Grant	Will Smith	"This movie is a little unusual in that it's got a very slim plot and the movie itself is done at a very slow and leisurely pace. While this makes it pretty different from the average Grant film, it is still highly watchable and entertaining. It's sort of like someone said ""let's just follow Cary around and watch as he gets perturbed at all the little problems that come up when you are having a house rehabbed"". Considering what a fun actor he is in the film and the great support he gets from Myrna Loy and Melvin Douglas, the film works very well. While the film has pretty modest pretensions, it makes the most of the material. It's a great film for Will Smith fans or for the whole family."
validation	Cary Grant	Tim Boggs	"They clearly want each other back, but will they cleave together or cleave apart as the clock strikes midnight? One extended ""movement"" of the movie letsTim Boggs██ charmingly undermine his wife's new relationship."
validation	Cary Grant	Jackie Chan	Nothing in this movie makes sense, and it really doesn't matter. It succeeds with its self-assured anarchy and the charm of its starsJackie Chan
validation	Cary Grant	Goldie Hawn	Filled with great characters all of whom, ██████████ is convinced, are out to fleece him in the building of a dream home.
validation	Carly Pope	Gina Yashere	Unless you like wasting your time watching an anorexic actress, in this film it's ██████████, behaving like a ditz, don't bother.
validation	Carlos Saura	Mary Tyler Moore	Director ████████████ knows how to shoot dancing from old experience.
validation	Carlos Mencia	Citizen Kane	"Perhaps people, especially viewers and Comedy Central executives will get the point since this week's issue of ""New York"" magazine accurately labeled him: ""Citizen Kane█, unrepentant joke-filcher."
validation	Carlos Mencia	Citizen Kane	"Perhaps people, especially viewers and Comedy Central executives will get the point since this week's issue of ""New York"" magazine accurately labeled him: ""Citizen Kane█, unrepentant joke-filcher."
validation	Carlos Mencia	William Haines	From his stand up specials to this train wreck of a TV series, █████████████ is not funny.
validation	Carlos Mencia	William Haines	From his stand up specials to this train wreck of a TV series, █████████████ is not funny.
validation	Carlos Mencia	Denton	Comedy stands no chance of evolving with DentonDenton█ around.
validation	Carlos Mencia	Denton	Comedy stands no chance of evolving with DentonDenton█ around.
validation	Carla Ballenda	Rupert Everett	Rupert Everett, the sister of one of the scientists working in a laboratory.
validation	Carl Brashear	Highlander	The inspiring story of Highlander███ (Cuba Gooding, Jr.), a black man who grew up in poverty in Kentucky and then joined the US Navy, aspiring to be the first black Master Diver in Navy history.
validation	Carey	Simon	Simon grew up on a ranch where his family employed many Navaho Indians and in fact he learned to speak Navaho before he learned to speak English.
validation	Captain Wentworth	Marlene	They had poor Anne chasing up and down the streets after MarleneMarlene███ like a silly modern adolescent (and if you happen to be a silly modern adolescent reading this, let me tell you: running after a male like a female in heat is NOT cool).
validation	Candy	Mehta	Mehta is a total mess of a movie, but you should still watch it if only to say you've had the dubious pleasure of experiencing its unique brand of vulgarity, chaos and extravagance.
validation	Candace Bergen	Chris Sarandon	I loved the gorgeous Greek scenery but the story, which is not something you can follow anyway, was even harder to follow in the movie. I cannot imagine how anyone watching the movie can get any kind of grip on it if they have not read the book, and then, like me, they would probably wonder why Australian Allison turned into French Anne, and many other seemingly pointless changes in the story. The mysteries in the book seemed to be chopped up or left out in the movie. I saw it when it first came out and had the same problems with it then, since I had read the book several times. I recently watched it with my granddaughter (very intelligent at 20 and usually into movies I like) who was mostly amazed at how young Michael Caine and Chris Sarandon were in it, but otherwise could not imagine why one would watch it except for the scenery.
validation	Campbell	Spielberg	Which is a sad thing to say because it was written by Mr. ████████ himself.
